data_month,cty_code,cty_name,chapter,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val
2010-04,5520,VIETNAM,83,0.008514,0.031699,0.731409,488833,4162,131296
2010-04,5520,VIETNAM,84,0.001381,0.032319,0.957258,51293551,70857,2192405
2010-04,5520,VIETNAM,85,0.014515,0.038618,0.624128,64123962,930777,24102396
2010-04,5520,VIETNAM,87,0.024389,0.027065,0.098864,5537522,135057,4990062
2010-04,5520,VIETNAM,88,0.007035,0.030052,0.765921,75342,530,17636
2010-04,5520,VIETNAM,89,0.0,,1.0,205400,0,0
2010-04,5520,VIETNAM,90,0.003798,0.021777,0.825586,6752475,25647,1177729
2010-04,5520,VIETNAM,92,0.053675,0.053675,0.0,83596,4487,83596
2010-04,5520,VIETNAM,93,0.011527,0.029079,0.60361,15182,175,6018
2010-04,5520,VIETNAM,94,0.000504,0.057225,0.991193,126191288,63599,1111384
2010-04,5520,VIETNAM,95,0.014533,0.046026,0.684245,10502832,152637,3316323
2010-04,5520,VIETNAM,96,0.042279,0.049214,0.140909,2585349,109306,2221051
2010-04,5520,VIETNAM,97,0.0,,1.0,14760,0,0
2010-04,5520,VIETNAM,98,0.0,,1.0,861948,0,0
2010-04,5520,VIETNAM,99,0.0,0.0,0.0,2832655,0,2832655
2010-05,5520,VIETNAM,01,0.0,,1.0,11516,0,0
2010-05,5520,VIETNAM,03,3.9e-05,0.052328,0.999255,42120696,1643,31398
2010-05,5520,VIETNAM,04,0.008484,0.008484,0.0,3422727,29038,3422727
2010-05,5520,VIETNAM,05,0.0,,1.0,46550,0,0
2010-05,5520,VIETNAM,06,0.059825,0.059825,0.0,37810,2262,37810
2010-05,5520,VIETNAM,07,0.104532,0.104532,0.0,195911,20479,195911
2010-05,5520,VIETNAM,08,0.000411,0.03385,0.987869,27421718,11260,332648
