data_month,series_id,rate,rate_dutiable,duty_free_share,con_val,cal_dut,dut_val,vintage_date,vintage_note
2010-07,ETRX-CN-95,0.004962,0.046265,0.89275,1872281152,9290204,200802722,2026-08-24,backfill
2010-07,ETRX-EU,0.011851,0.030266,0.608428,26530659394,314426344,10388673369,2026-09-03,backfill
2010-07,ETRX-EU-87,0.022934,0.025092,0.086015,2984338950,68443219,2727641833,2026-08-24,backfill
2010-07,ETRX-IN,0.025406,0.067193,0.621891,2594480443,65915682,980995930,2026-09-03,backfill
2010-07,ETRX-JP,0.017161,0.029776,0.423645,9698986571,166447521,5590057991,2026-09-03,backfill
2010-07,ETRX-KR,0.014187,0.031578,0.550725,4403018949,62466934,1978165900,2026-09-03,backfill
2010-07,ETRX-MX,0.000862,0.031282,0.972429,17578646281,15161151,484667010,2026-09-03,backfill
2010-07,ETRX-MX-87,0.000748,0.024896,0.969962,2686423401,2009000,80695289,2026-08-24,backfill
2010-07,ETRX-PHARMA,1e-06,0.049933,0.999983,5358243235,4594,92003,2026-08-24,backfill
2010-07,ETRX-STEEL,0.005852,0.039321,0.851173,4721788971,27632073,702731453,2026-08-24,backfill
2010-07,ETRX-TW,0.016468,0.048565,0.660903,2988560327,49216004,1013411379,2026-09-03,backfill
2010-07,ETRX-US,0.015169,0.047211,0.678697,159128692656,2413811616,51128590427,2026-08-24,backfill
2010-07,ETRX-US-INCL,0.014789,0.046323,0.680746,163774905008,2422023272,52285785167,2026-08-24,backfill
2010-07,ETRX-VN,0.089941,0.137734,0.346994,1328693539,119504623,867644986,2026-09-03,backfill
2010-08,ETRX-APPAREL,0.132394,0.161953,0.182516,7559696944,1000860258,6179931777,2026-08-24,backfill
2010-08,ETRX-CA,0.000453,0.00778,0.941784,22510127951,10194753,1310446951,2026-09-03,backfill
2010-08,ETRX-CA-44,0.005594,0.098578,0.943251,419225614,2345245,23790655,2026-08-24,backfill
2010-08,ETRX-CA-76,7e-05,0.033066,0.997884,563993329,39463,1193458,2026-08-24,backfill
2010-08,ETRX-CA-87,0.000244,0.026129,0.990659,4208679965,1027250,39314754,2026-08-24,backfill
2010-08,ETRX-CN,0.036737,0.080793,0.545294,34893725756,1281891384,15866398159,2026-09-03,backfill
2010-08,ETRX-CN-84,0.003395,0.032358,0.895075,7243797265,24593889,760055733,2026-08-24,backfill
2010-08,ETRX-CN-85,0.011975,0.0352,0.659789,8466124195,101385871,2880271707,2026-08-24,backfill
2010-08,ETRX-CN-95,0.003881,0.045477,0.91466,2769537848,10748560,236351827,2026-08-24,backfill
2010-08,ETRX-EU,0.012253,0.031181,0.607031,25646914668,314254704,10078452930,2026-09-03,backfill
2010-08,ETRX-EU-87,0.023147,0.02525,0.083286,2580182499,59723904,2365290577,2026-08-24,backfill
2010-08,ETRX-IN,0.025136,0.06359,0.604709,2740179088,68878058,1083167062,2026-09-03,backfill
2010-08,ETRX-JP,0.017725,0.029853,0.406234,10337717254,183241132,6138187920,2026-09-03,backfill
2010-08,ETRX-KR,0.014139,0.030288,0.533163,4237561007,59916316,1978251770,2026-09-03,backfill
2010-08,ETRX-MX,0.000835,0.030976,0.973055,19548530076,16316095,526726039,2026-09-03,backfill
2010-08,ETRX-MX-87,0.000597,0.024771,0.975879,3645037050,2177883,87921671,2026-08-24,backfill
2010-08,ETRX-PHARMA,0.0,0.046454,0.99999,6032798470,2921,62879,2026-08-24,backfill
2010-08,ETRX-STEEL,0.006279,0.040369,0.844467,4466179961,28041582,694637222,2026-08-24,backfill
2010-08,ETRX-TW,0.017946,0.051637,0.652466,3168823845,56866557,1101273571,2026-09-03,backfill
2010-08,ETRX-US,0.015734,0.049748,0.683733,163783055615,2576897180,51799225580,2026-08-24,backfill
2010-08,ETRX-US-INCL,0.015315,0.048617,0.684981,168673881031,2583277563,53135492835,2026-08-24,backfill
2010-08,ETRX-VN,0.090285,0.136455,0.338353,1462114460,132007414,967403125,2026-09-03,backfill
2010-09,ETRX-APPAREL,0.131635,0.161267,0.183748,7248440943,954147944,5916555599,2026-08-24,backfill
2010-09,ETRX-CA,0.00038,0.007168,0.946918,22103361471,8409752,1173286599,2026-09-03,backfill
2010-09,ETRX-CA-44,0.0009,0.095874,0.990608,414186477,372970,3890205,2026-08-24,backfill
2010-09,ETRX-CA-76,0.000103,0.034725,0.997026,551137599,56918,1639127,2026-08-24,backfill
2010-09,ETRX-CA-87,0.000259,0.02617,0.99009,4271233251,1107715,42327360,2026-08-24,backfill
2010-09,ETRX-CN,0.036027,0.081197,0.556297,34546352573,1244606113,15328313773,2026-09-03,backfill
2010-09,ETRX-CN-84,0.003086,0.032052,0.903712,7216040869,22270446,694816664,2026-08-24,backfill
2010-09,ETRX-CN-85,0.01156,0.034741,0.667243,8666053837,100182931,2883693038,2026-08-24,backfill
2010-09,ETRX-CN-95,0.003525,0.044654,0.921071,3007869067,10601267,237408931,2026-08-24,backfill
2010-09,ETRX-EU,0.011254,0.031721,0.64523,24803854476,279131383,8799669455,2026-09-03,backfill
2010-09,ETRX-EU-87,0.023588,0.02516,0.062451,2428785004,57291356,2277106058,2026-08-24,backfill
2010-09,ETRX-IN,0.02653,0.071916,0.631091,2417065355,64125881,891677620,2026-09-03,backfill
2010-09,ETRX-JP,0.016766,0.030283,0.44637,9899617617,165974078,5480722770,2026-09-03,backfill
2010-09,ETRX-KR,0.013778,0.030872,0.553687,4215606552,58084464,1881481987,2026-09-03,backfill
2010-09,ETRX-MX,0.000819,0.029071,0.971818,19565222533,16029127,551384066,2026-09-03,backfill
2010-09,ETRX-MX-87,0.000529,0.025063,0.978883,3699533698,1958026,78123859,2026-08-24,backfill
2010-09,ETRX-PHARMA,1e-06,0.049983,0.999985,4899001804,3775,75525,2026-08-24,backfill
2010-09,ETRX-STEEL,0.006492,0.040588,0.840043,4073425348,26446381,651574302,2026-08-24,backfill
2010-09,ETRX-TW,0.015652,0.048401,0.676611,3202050972,50119930,1035508573,2026-09-03,backfill
2010-09,ETRX-US,0.015037,0.049763,0.697825,161979077501,2435682776,48946034826,2026-08-24,backfill
2010-09,ETRX-US-INCL,0.014629,0.048716,0.699716,166758482228,2439450562,50074872710,2026-08-24,backfill
2010-09,ETRX-VN,0.085772,0.135599,0.367464,1410433727,120975085,892150470,2026-09-03,backfill
2010-10,ETRX-APPAREL,0.132,0.161712,0.183732,7344111967,969426180,5994766248,2026-08-24,backfill
2010-10,ETRX-CA,0.000352,0.008427,0.958241,22264639177,7834577,929744194,2026-09-03,backfill
2010-10,ETRX-CA-44,0.000125,0.076341,0.99836,415203018,51971,680774,2026-08-24,backfill
2010-10,ETRX-CA-76,0.000114,0.032666,0.996504,577376670,65941,2018632,2026-08-24,backfill
2010-10,ETRX-CA-87,0.00026,0.025509,0.989803,4228054620,1099802,43113610,2026-08-24,backfill
2010-10,ETRX-CN,0.035462,0.08123,0.563431,34683021802,1229941185,15141528694,2026-09-03,backfill
2010-10,ETRX-CN-84,0.003004,0.031807,0.905565,6993688081,21006939,660448587,2026-08-24,backfill
2010-10,ETRX-CN-85,0.01182,0.035434,0.666426,8970740784,106034219,2992403644,2026-08-24,backfill
2010-10,ETRX-CN-95,0.003259,0.04425,0.926352,3495160398,11390584,257412463,2026-08-24,backfill
2010-10,ETRX-EU,0.011857,0.031021,0.617768,26680935208,316358861,10198313955,2026-09-03,backfill
2010-10,ETRX-EU-87,0.023093,0.02507,0.078869,3101190111,71616180,2856603069,2026-08-24,backfill
2010-10,ETRX-IN,0.027104,0.074759,0.637442,2873435736,77882725,1041785906,2026-09-03,backfill
2010-10,ETRX-JP,0.017413,0.02971,0.413877,10924295308,190229470,6402975502,2026-09-03,backfill
2010-10,ETRX-KR,0.013159,0.031569,0.583152,4293523799,56499621,1789746493,2026-09-03,backfill
2010-10,ETRX-MX,0.000767,0.031434,0.975598,20362881510,15619172,496885738,2026-09-03,backfill
2010-10,ETRX-MX-87,0.000524,0.025015,0.97904,3885159586,2037051,81432284,2026-08-24,backfill
2010-10,ETRX-PHARMA,0.0,0.049745,0.999995,5114883703,1161,23339,2026-08-24,backfill
2010-10,ETRX-STEEL,0.006392,0.040012,0.840243,4158662969,26583212,664374712,2026-08-24,backfill
2010-10,ETRX-TW,0.016095,0.050146,0.679033,3110976003,50071605,998519266,2026-09-03,backfill
2010-10,ETRX-US,0.015166,0.050534,0.699888,164584739327,2496058624,49393931845,2026-08-24,backfill
2010-10,ETRX-US-INCL,0.014818,0.049734,0.70205,169602400341,2513197654,50532965420,2026-08-24,backfill
2010-10,ETRX-VN,0.090957,0.144661,0.37124,1476682645,134314600,928478734,2026-09-03,backfill
2010-11,ETRX-APPAREL,0.128999,0.161747,0.202464,6020805080,776676451,4801806773,2026-08-24,backfill
2010-11,ETRX-CA,0.000325,0.007513,0.956793,22048861880,7157300,952662695,2026-09-03,backfill
2010-11,ETRX-CA-44,0.000103,0.066939,0.998455,415180664,42941,641494,2026-08-24,backfill
2010-11,ETRX-CA-76,8.1e-05,0.03189,0.997448,626847878,51005,1599423,2026-08-24,backfill
2010-11,ETRX-CA-87,0.000257,0.025693,0.989988,3753925470,965669,37585441,2026-08-24,backfill
2010-11,ETRX-CN,0.02974,0.076471,0.611099,34219124792,1017665986,13307867150,2026-09-03,backfill
2010-11,ETRX-CN-84,0.002548,0.031618,0.919414,8016144185,20424647,645990194,2026-08-24,backfill
2010-11,ETRX-CN-85,0.010366,0.035199,0.705504,9745761501,101024703,2870085427,2026-08-24,backfill
2010-11,ETRX-CN-95,0.004024,0.045222,0.911013,2995398129,12053886,266550291,2026-08-24,backfill
2010-11,ETRX-EU,0.012367,0.031961,0.613059,26310473982,325382735,10180608855,2026-09-03,backfill
2010-11,ETRX-EU-87,0.023173,0.025106,0.076991,3260505946,75554650,3009475597,2026-08-24,backfill
2010-11,ETRX-IN,0.028136,0.080323,0.649719,2316772727,65183836,811521162,2026-09-03,backfill
2010-11,ETRX-JP,0.017416,0.029859,0.416736,10746626261,187162318,6268125276,2026-09-03,backfill
2010-11,ETRX-KR,0.013255,0.030537,0.565933,4451032560,58999491,1932047380,2026-09-03,backfill
2010-11,ETRX-MX,0.000805,0.03188,0.974738,19528285728,15727044,493316059,2026-09-03,backfill
2010-11,ETRX-MX-87,0.0005,0.025053,0.980051,3503437365,1750978,69889603,2026-08-24,backfill
2010-11,ETRX-PHARMA,1e-06,0.049969,0.99998,5093899221,5184,103745,2026-08-24,backfill
2010-11,ETRX-STEEL,0.006304,0.039435,0.840132,3886879324,24504534,621387964,2026-08-24,backfill
2010-11,ETRX-TW,0.015384,0.048641,0.683724,3078063100,47353286,973516293,2026-09-03,backfill
2010-11,ETRX-US,0.013761,0.047044,0.707494,162727479347,2239256099,47598765375,2026-08-24,backfill
2010-11,ETRX-US-INCL,0.013387,0.045803,0.707729,167636617753,2244139030,48995314661,2026-08-24,backfill
2010-11,ETRX-VN,0.087127,0.14018,0.378462,1325685587,115503047,823964272,2026-09-03,backfill
2010-12,ETRX-APPAREL,0.126452,0.16191,0.219,5346530901,676078008,4175641623,2026-08-24,backfill
2010-12,ETRX-CA,0.000314,0.005658,0.944552,23408186577,7344121,1297927212,2026-09-03,backfill
2010-12,ETRX-CA-44,0.000123,0.070773,0.998266,388245433,47633,673041,2026-08-24,backfill
2010-12,ETRX-CA-76,0.000125,0.035082,0.996451,542396454,67532,1925001,2026-08-24,backfill
2010-12,ETRX-CA-87,0.000202,0.025634,0.99213,3517914836,709682,27685556,2026-08-24,backfill
